SKILL,DESCRIPTION,COST,DAMAGE,HEALTH,BLOCK,DELAY,DURATION,WHO
Head bash,A simple attack for the armless creature,1,5,,,,,Shrub;Shrime
Leaf throw,A barrage of sharp leaves,2,7,,,,,Shrub
Chronoison,Saps time from the target. Every action taken by the target takes extra time,5,-,,,,,Shrime
Stump bash,A simple attack for the stumped creature,3,10,,,,,Stumped
Vine attack,An underground ambush!,10,12,,,,,Stumped
Laugh,An unpromted action. What's so funny huh?,10,-,-,-,-,-,Stumped
Thermokenisis,A sudden change in the tempreture. Makes every action consume health for some time,7,-,,,,,Ice Fairy
Snowball,"An unpredictable act of folly, such a bad mannered kid! (Delays turn by 1)",5,2,-,-,1,-,Ice Fairy
Chronokenisis,A sudden change in tempo. (Makes the user act 2 times in one turn),15,-,-,-,3,-,Time Fairy
Time drain,Saps time from the target but inexplicably returns some health? what is she trying to achive?,10,-15,-,-,-,-,Time Fairy
Hydrokenisis,A helpful assist. (Heals target),15,-80,-,-,-,-,Water Fairy
Healing waters,A less helpful but appreciated assist. (Heals target),5,-30,-,-,-,-,Water Fairy
Prolefirate,There's two of them now?! (Doubles attack and mana consumption),15,-,-,-,-,3,Shrimobi
Shlice,A quick unreactable slash... I feel funny. (deals damage and delays action for 1 turn),5,30,-,-,1,-,Shrimobi
Quickification,What an unpredictable creature... (Allows user to act twice in one turn),10,-,-,40,3,-,Shrimobi
Green bash,A simple attack for a greenture,5,35,-,-,-,-,Mossatuar;Moss Man
Hydration,Water's locked to their feet now. (Heals user),10,-,40,-,-,-,Mossatuar;Moss Man
Green slash,A very dangerous move to endure.,10,50,-,-,-,-,Mossatuar
Chant,It... has a voice? (does nothing),2,-,-,-,-,-,Old Doll
Inch closer,???? (makes target too scared to act for their turn),3,-,-,-,1,-,Old Doll
Whisper,Hm? (does nothing),2,-,-,-,-,-,Old Doll
Ice storm,A massive shift in internal tempreture and air currents,10,50,-,-,-,-,"Old Doll;Angel's Corpse
"
Murmer,It... has a voice? (does nothing),2,-,-,-,-,-,Living Glass
Crakle,Who's animating this thing? (does nothing),2,-,-,-,-,-,Living Glass
Glassier,A very dangerous barrage of glass pieces.,7,40,-,-,-,-,Living Glass
Glassh,Very slow but very hard to avoid.,12,45,-,-,-,-,Living Glass
Healing prayers,A prayer to the ancestors. (Heals user),10,-,50,-,-,-,Angel's Corpse
Fire storm,My elemental weakness.,10,60,-,-,-,-,Demon's Remains
Flaming floor,NOT THE FLOOR!! (makes every action the target does consume health),12,5,-,-,-,3,Demon's Remains
Snow Grave,An insane blizzard  being summond for blood,5,50,-,-,-,-,Regrets of Time
Private Square,Messes with the tempo of the battle. Makes user act twice in one turn,5,-,-,-,2,2,Regrets of Time
Maki madoshi,Reverses the consequences of actions. Returns health to a previous point,5,-,100,-,-,-,Regrets of Time
Blood frost,damages target every turn if they act,5,5,-,-,-,3,Regrets of Time
Reminisce,Doubles attack and mana consumption,5,-,-,-,-,3,Regrets of Time
Dagger,small damage,1,5,-,-,-,-,imp;wizard
Large attack,medium damage,3,20,-,-,-,-,bear;turtle
Heavy attack,big damage. skips 1 turn,6,50,-,-,-1,-,turtle
Light block,,1,,,5,,,imp;wizard
Heavy blcok,,3,,,20,,,bear
Full block,,9,,,100,,,turtle
Mana minimum,Player cannot use less than 10 mana (should only be played if player can play without overstepping),5,,,,,,wizard
Mana Maximum,Player cannot use more thatn 5 mana next turn,5,,,,,,wizard
Basic delay,Delays the player,,,,,1,,
Buff,"Doubles next attack, damages self",5,,10,,,,bear
