SKILL,DESCRIPTION,COST,DAMAGE,HEALTH,BLOCK,DELAY,DURATION,CATEGORY
Icicle,small damage,1,7,-,-,-,-,Fight
Ice Chunk,medium damage,3,35,-,-,-,-,Fight
Ice Storm,big damage. skips 1 turn for the player,6,120,-,-,-1,-,Fight
Clone,"makes a clone of the user that repeats the same actions (double damage, heal, block value)",15,-,-,-,-,3,Fight
The World,allows the user to use any 5 actions for free for 1 turn,20,-,-,-,5,-,Fight
Freeze,delays target turn by 1,2,-,-,-,1,-,Block
Mega Frost,delays target turn by 2,7,-,-,-,2,,Block
Snow Cloud,mana cost is doubled for target,15,-,-,-,-,2,Block
Blood Frost,damages target every turn if they act,10,-,-,-,-,2,Block
Maki Modoshi,rewind X amount of turns,???(may be a consumable),,,,,,Block
Holy Drop,Heal for a small amount,2,-,20,-,-,-,Heal
Holy Cup,Heal a moderate ammount,4,-,40,-,-,-,Heal
Holy Rain,heal a small amount every turn,10,-10,20,-,-,5,Heal
Life Rob,Steals life-time from the target ,5,20,20,-,-,-,Heal
Drain body,Generates mana in exchange for health and skipping a turn,-10,,-20,,-1,,Heal
